,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Conakry,GN,2020-04-21 01:21:38,9.54,-13.68,80.83,74,37,3.58
1,Poum,NC,2020-04-21 01:21:38,-20.23,164.02,78.28,76,2,15.95
2,Avarua,CK,2020-04-21 01:21:38,-21.21,-159.78,82.4,74,1,17.22
3,Tiksi,RU,2020-04-21 01:21:39,71.69,128.87,23.11,95,95,3.0
4,Qaanaaq,GL,2020-04-21 01:21:39,77.48,-69.36,6.6,82,12,5.44
5,Bathsheba,BB,2020-04-21 01:21:39,13.22,-59.52,77.0,83,75,17.22
6,Kodiak,US,2020-04-21 01:21:39,57.79,-152.41,44.6,87,90,10.29
7,Atuona,PF,2020-04-21 01:21:39,-9.8,-139.03,82.76,72,3,11.07
8,Talnakh,RU,2020-04-21 01:21:40,69.49,88.4,32.0,94,75,22.37
9,New Norfolk,AU,2020-04-21 01:21:40,-42.78,147.06,59.0,51,20,12.75
10,Saint Anthony,US,2020-04-21 01:21:40,45.02,-93.22,48.0,36,40,18.34
11,Busselton,AU,2020-04-21 01:21:40,-33.65,115.33,61.0,98,35,3.0
12,Bluff,NZ,2020-04-21 01:21:40,-46.6,168.33,53.01,72,83,5.61
13,Husavik,IS,2020-04-21 01:21:40,66.04,-17.34,46.4,70,46,13.87
14,Vaini,TO,2020-04-21 01:21:40,-21.2,-175.2,84.2,74,75,11.41
15,Mataura,NZ,2020-04-21 01:21:41,-46.19,168.86,55.83,60,91,2.55
16,Rikitea,PF,2020-04-21 01:21:41,-23.12,-134.97,77.54,78,14,9.64
17,Lumeje,AO,2020-04-21 01:21:41,-11.55,20.78,63.75,58,22,4.32
18,Chokwe,MZ,2020-04-21 01:21:41,-24.53,32.98,67.01,96,0,4.68
19,Naze,JP,2020-04-21 01:21:41,28.37,129.48,69.8,72,75,10.29
20,Albany,US,2020-04-21 01:21:41,42.6,-73.97,44.6,39,1,3.36
21,Provideniya,RU,2020-04-21 01:21:42,64.38,-173.3,24.8,68,46,4.47
22,Nome,US,2020-04-21 01:21:42,64.5,-165.41,30.99,86,90,3.36
23,Lebu,CL,2020-04-21 01:18:54,-37.62,-73.65,55.92,69,24,15.46
24,Krasnoselkup,RU,2020-04-21 01:21:42,65.7,82.47,32.99,97,100,8.16
25,Codrington,AU,2020-04-21 01:21:42,-38.27,141.97,59.05,65,89,18.7
26,Anadyr,RU,2020-04-21 01:21:42,64.75,177.48,14.0,78,5,4.47
27,Hobart,AU,2020-04-21 01:21:43,-42.88,147.33,59.0,51,20,12.75
28,Goderich,CA,2020-04-21 01:20:52,43.75,-81.72,46.99,51,77,21.09
29,Adrar,MR,2020-04-21 01:21:43,20.5,-10.07,75.65,16,0,7.94
30,Yellowknife,CA,2020-04-21 01:20:04,62.46,-114.35,23.0,49,90,12.75
31,Orlik,RU,2020-04-21 01:21:43,52.52,99.83,27.16,51,0,0.98
32,Sao Filipe,CV,2020-04-21 01:21:44,14.9,-24.5,72.1,76,0,15.35
33,Pevek,RU,2020-04-21 01:21:44,69.7,170.31,9.82,93,100,8.23
34,Constitucion,CL,2020-04-21 01:21:44,-35.33,-72.42,60.84,55,54,9.73
35,Kavieng,PG,2020-04-21 01:21:44,-2.57,150.8,85.24,68,54,5.66
36,Camacha,PT,2020-04-21 01:21:44,33.08,-16.33,60.8,51,20,17.22
37,Syracuse,IT,2020-04-21 01:21:44,37.09,15.28,61.0,77,75,13.87
38,Lasa,IT,2020-04-21 01:21:45,46.62,10.7,44.6,93,90,9.17
39,Georgetown,MY,2020-04-21 01:18:11,5.41,100.34,82.4,94,20,5.82
40,Puerto Ayora,EC,2020-04-21 01:21:45,-0.74,-90.35,82.4,74,40,11.41
41,Kidal,ML,2020-04-21 01:21:45,18.44,1.41,85.8,18,22,14.05
42,Kashi,CN,2020-04-21 01:21:45,39.45,75.98,53.6,71,75,4.47
43,Hermanus,ZA,2020-04-21 01:21:46,-34.42,19.23,55.99,99,100,7.29
44,Taoudenni,ML,2020-04-21 01:21:03,22.68,-3.98,79.83,16,0,7.0
45,Waipawa,NZ,2020-04-21 01:21:46,-41.41,175.52,62.6,48,82,11.41
46,Bossier City,US,2020-04-21 01:17:23,32.52,-93.73,69.01,82,1,1.72
47,Castro,BR,2020-04-21 01:17:18,-24.79,-50.01,56.19,62,2,1.83
48,Mar Del Plata,AR,2020-04-21 01:20:34,-38.0,-57.56,61.0,77,100,9.17
49,Flinders,AU,2020-04-21 01:21:46,-34.58,150.86,73.0,56,2,1.99
50,Dikson,RU,2020-04-21 01:21:47,73.51,80.55,30.09,98,100,22.88
51,Pacific Grove,US,2020-04-21 01:21:47,36.62,-121.92,59.0,67,75,11.41
52,Arraial Do Cabo,BR,2020-04-21 01:21:47,-22.97,-42.03,74.23,74,1,4.9
53,Kununurra,AU,2020-04-21 01:21:47,-15.77,128.73,91.4,46,52,5.82
54,San Patricio,MX,2020-04-21 01:21:47,19.22,-104.7,82.4,69,5,17.22
55,Shenjiamen,CN,2020-04-21 01:21:47,29.96,122.3,52.92,85,100,17.87
56,Katsuura,JP,2020-04-21 01:21:48,35.13,140.3,61.0,82,75,3.36
57,Darhan,MN,2020-04-21 01:21:48,49.49,105.92,31.48,50,0,6.69
58,Kaitangata,NZ,2020-04-21 01:21:48,-46.28,169.85,57.0,55,87,4.0
59,Karagaylinskiy,RU,2020-04-21 01:21:48,54.17,86.55,46.92,60,0,3.29
60,Pulivendla,IN,2020-04-21 01:21:48,14.42,78.23,75.72,49,50,2.15
61,Payo,ID,2020-04-21 01:21:49,-3.75,103.64,76.71,87,64,1.16
62,Sitka,US,2020-04-21 01:21:49,57.05,-135.33,44.6,87,90,13.87
63,Camana,PE,2020-04-21 01:21:49,-16.62,-72.71,69.66,71,7,4.32
64,Gat,IL,2020-04-21 01:21:49,31.61,34.76,61.0,74,0,3.56
65,Banda Aceh,ID,2020-04-21 01:20:25,5.56,95.32,81.05,81,54,4.72
66,Maralal,KE,2020-04-21 01:21:49,1.1,36.7,61.95,55,100,1.74
67,Buncrana,IE,2020-04-21 01:21:50,55.13,-7.45,41.97,68,0,12.5
68,Avera,US,2020-04-21 01:21:50,33.19,-82.53,64.4,88,90,3.36
69,Aden,YE,2020-04-21 01:21:50,12.78,45.04,82.6,78,84,13.85
70,Hami,CN,2020-04-21 01:21:50,42.8,93.45,56.46,21,34,5.32
71,Kaseda,JP,2020-04-21 01:21:50,31.42,130.32,60.8,51,75,6.93
72,Mackay,AU,2020-04-21 01:21:50,-21.15,149.2,82.99,74,14,8.05
73,Dakoro,NE,2020-04-21 01:21:51,14.51,6.76,85.82,31,99,8.95
74,Sri Aman,MY,2020-04-21 01:21:51,1.24,111.46,82.4,88,75,3.36
75,Tuktoyaktuk,CA,2020-04-21 01:21:51,69.45,-133.04,8.6,84,90,12.75
76,Bairiki,KI,2020-04-21 01:21:51,1.33,172.98,87.8,70,40,13.87
77,Saskylakh,RU,2020-04-21 01:21:51,71.92,114.08,22.48,96,61,9.51
78,Pisco,PE,2020-04-21 01:21:51,-13.7,-76.22,66.99,82,0,12.75
79,Cienaga,CO,2020-04-21 01:21:52,11.01,-74.25,80.6,83,20,10.29
80,Kingisepp,RU,2020-04-21 01:21:52,59.37,28.61,39.18,93,90,3.83
81,Jamestown,US,2020-04-21 01:21:52,42.1,-79.24,39.2,32,1,5.82
82,Eureka,US,2020-04-21 01:20:01,40.8,-124.16,55.99,76,90,8.05
83,Tucuman,AR,2020-04-21 01:21:52,-26.82,-65.22,66.2,82,0,8.05
84,Oistins,BB,2020-04-21 01:21:53,13.07,-59.53,77.0,83,75,17.22
85,Ginda,IN,2020-04-21 01:21:53,30.69,78.49,46.62,29,39,6.82
86,Kutum,SD,2020-04-21 01:21:53,14.2,24.67,64.9,17,21,3.11
87,Guerrero Negro,MX,2020-04-21 01:21:53,27.98,-114.06,64.44,67,88,21.61
88,East London,ZA,2020-04-21 01:19:09,-33.02,27.91,70.5,71,54,12.68
89,Kapaa,US,2020-04-21 01:21:54,22.08,-159.32,78.8,65,75,12.75
90,Haines Junction,CA,2020-04-21 01:21:54,60.75,-137.51,42.06,53,99,9.06
91,Dolores,AR,2020-04-21 01:21:54,-36.31,-57.68,64.58,72,6,8.28
92,Thompson,CA,2020-04-21 01:21:54,55.74,-97.86,19.4,41,20,8.05
93,Ushuaia,AR,2020-04-21 01:21:54,-54.8,-68.3,42.8,75,75,42.5
94,La Ronge,CA,2020-04-21 01:21:54,55.1,-105.28,30.2,50,75,6.93
95,Torbay,CA,2020-04-21 01:21:54,47.67,-52.73,37.0,93,90,14.99
96,Xining,CN,2020-04-21 01:21:54,36.62,101.77,37.06,34,100,4.03
97,Ngunguru,NZ,2020-04-21 01:21:55,-35.62,174.5,64.0,99,100,4.0
98,Pechenga,RU,2020-04-21 01:21:55,69.53,31.17,33.8,69,100,33.33
99,Moose Factory,CA,2020-04-21 01:21:55,51.26,-80.61,30.2,92,90,11.41
100,Punta Arenas,CL,2020-04-21 01:21:55,-53.15,-70.92,44.6,81,20,17.22
101,Esperance,AU,2020-04-21 01:21:55,-33.87,121.9,64.4,68,5,10.29
102,Marsh Harbour,BS,2020-04-21 01:21:55,26.54,-77.06,81.64,77,100,21.59
103,Benxi,CN,2020-04-21 01:21:55,41.29,123.77,39.2,29,7,24.61
